"","Region","Age_lower","Year","Population","Proportion","Data"
"99","Gwangju","65",2000,30412,0.0219990075418142,NA
"100","Gwangju","70",2000,20899,0.0151176265492692,NA
"101","Gwangju","75",2000,13485,0.00975459084247547,NA
"102","Gwangju","80",2000,11138,0.0080568507826097,NA
"103","Daejeon","0",2000,101119,0.0723897516517297,NA
"104","Daejeon","5",2000,110849,0.079355329669425,NA
"105","Daejeon","10",2000,100215,0.0717425900352861,NA
"106","Daejeon","15",2000,127064,0.0909634332210107,NA
"107","Daejeon","20",2000,128134,0.091729432036934,NA
"108","Daejeon","25",2000,133188,0.09534752364037,NA
"109","Daejeon","30",2000,125947,0.0901637877281263,NA
"110","Daejeon","35",2000,129051,0.0923859001810478,NA
"111","Daejeon","40",2000,123447,0.0883740708684923,NA
"112","Daejeon","45",2000,86881,0.0621969561927425,NA
"113","Daejeon","50",2000,64888,0.0464524590351708,NA
"114","Daejeon","55",2000,49631,0.0355301749841968,NA
"115","Daejeon","60",2000,41206,0.0294988291672304,NA
"116","Daejeon","65",2000,30312,0.0216999589796896,NA
"117","Daejeon","70",2000,20531,0.0146978707380578,NA
"118","Daejeon","75",2000,13535,0.00968952707805814,NA
"119","Daejeon","80",2000,10871,0.00778240479243222,NA
"120","Ulsan","0",2000,85656,0.0827068395165199,NA
"121","Ulsan","5",2000,95215,0.0919367204231513,NA
"122","Ulsan","10",2000,79346,0.0766140946142452,NA
"123","Ulsan","15",2000,84386,0.0814805659783442,NA
"124","Ulsan","20",2000,74635,0.0720652956864139,NA
"125","Ulsan","25",2000,92186,0.0890120097561164,NA
"126","Ulsan","30",2000,107385,0.103687703855906,NA
"127","Ulsan","35",2000,111939,0.108084908338467,NA
"128","Ulsan","40",2000,97480,0.0941237358278505,NA
"129","Ulsan","45",2000,66040,0.063766223985138,NA
"130","Ulsan","50",2000,45295,0.0437354802454092,NA
"131","Ulsan","55",2000,31098,0.0300272870001487,NA
"132","Ulsan","60",2000,23880,0.0230578047965641,NA
"133","Ulsan","65",2000,16558,0.0159879033426092,NA
"134","Ulsan","70",2000,11127,0.0107438942199066,NA
"135","Ulsan","75",2000,7381,0.00712687006714572,NA
"136","Ulsan","80",2000,6051,0.00584266234606405,NA
"137","Sejong","0",2000,NA,NA,NA
"138","Sejong","5",2000,NA,NA,NA
"139","Sejong","10",2000,NA,NA,NA
"140","Sejong","15",2000,NA,NA,NA
"141","Sejong","20",2000,NA,NA,NA
"142","Sejong","25",2000,NA,NA,NA
"143","Sejong","30",2000,NA,NA,NA
"144","Sejong","35",2000,NA,NA,NA
"145","Sejong","40",2000,NA,NA,NA
"146","Sejong","45",2000,NA,NA,NA
"147","Sejong","50",2000,NA,NA,NA
"148","Sejong","55",2000,NA,NA,NA
"149","Sejong","60",2000,NA,NA,NA
"150","Sejong","65",2000,NA,NA,NA
"151","Sejong","70",2000,NA,NA,NA
"152","Sejong","75",2000,NA,NA,NA
"153","Sejong","80",2000,NA,NA,NA
"154","Gyeonggi","0",2000,746229,0.0815867804376454,"Urban"
"155","Gyeonggi","5",2000,808538,0.0883991539882435,"Urban"
"156","Gyeonggi","10",2000,651557,0.0712360922741021,"Urban"
